,LT_Rev
19320527,   0.89
19320528,   0.81
19320531,  -0.23
19320601,   1.03
19320602,   1.29
19320603,  -4.18
19320604,   0.50
19320606,   3.09
19320607,  -1.41
19320608,   0.56
19320609,  -1.80
19320610,   1.45
19320611,   0.35
19320613,  -0.08
19320614,  -1.50
19320615,   0.67
19320616,   2.47
19320617,  -1.14
19320618,   0.01
19320620,  -1.98
19320621,   2.25
19320622,   0.48
19320623,  -2.49
19320624,   0.87
19320625,  -0.88
19320627,   1.77
19320628,  -2.03
19320629,   1.39
19320630,  -0.79
19320701,  -0.48
19320705,   2.77
19320706,   0.83
19320707,   1.62
19320708,   3.72
19320709,   0.60
19320711,   1.44
19320712,  -2.45
19320713,   1.93
19320714,   0.42
19320715,   0.79
19320716,   0.16
19320718,   1.20
19320719,  -0.83
19320720,   1.41
19320721,   1.00
19320722,   1.32
19320723,  -0.40
19320725,   2.61
19320726,   2.46
19320727,  -1.24
19320728,   1.16
19320729,   0.78
19320730,   0.32
19320801,   1.39
19320802,  -1.10
19320803,  -1.32
19320804,  -1.30
19320805,  -1.01
19320806,   1.79
19320808,   3.22
19320809,   1.35
19320810,   1.62
19320811,   1.95
19320812,   2.27
19320813,  -1.30
19320815,   2.05
19320816,  -0.05
19320817,  -5.05
19320818,   0.66
19320819,   0.95
19320820,   1.30
19320822,   1.63
19320823,   0.28
19320824,   1.46
19320825,   4.41
19320826,   3.06
19320827,   1.79
19320829,  -0.80
19320830,   3.53
19320831,  -1.56
19320901,   1.43
19320902,   3.09
19320903,   0.94
19320906,   1.41
19320907,   0.11
19320908,   0.78
19320909,  -2.56
19320910,  -0.94
19320912,  -4.23
19320913,  -4.78
19320914,  -2.98
19320915,   1.40
19320916,  -0.23
19320917,  -0.79
19320919,   1.44
19320920,  -0.79
19320921,   8.50
19320922,  -0.66
19320923,   0.55
19320924,   0.64
19320926,  -3.74
19320927,   0.25
19320928,   0.33
19320929,  -2.12
19320930,  -0.69
19321001,   0.52
19321003,  -1.25
19321004,  -1.28
19321005,  -3.93
19321006,  -1.62
19321007,  -3.63
19321008,  -1.74
19321010,  -6.04
19321011,   3.51
19321013,   0.71
19321014,   4.41
19321015,   1.22
19321017,  -1.99
19321018,  -0.13
19321019,  -0.67
19321020,   1.34
19321021,  -3.95
19321022,  -0.10
19321024,   0.50
19321025,  -0.41
19321026,   0.71
19321027,   1.00
19321028,   0.36
19321029,  -1.09
19321031,   0.27
19321101,  -1.81
19321102,  -0.91
19321103,  -1.70
19321104,   1.71
19321105,   1.61
19321107,   1.98
19321109,  -2.63
19321110,   1.69
19321111,   2.62
19321112,   2.39
19321114,  -3.78
19321115,  -2.53
19321116,  -0.82
19321117,  -1.62
19321118,   0.32
19321119,   0.43
19321121,  -1.34
19321122,  -1.16
19321123,  -1.62
19321125,  -1.30
19321126,   0.07
19321128,  -0.89
19321129,  -1.25
19321130,  -0.89
19321201,  -0.26
19321202,  -1.75
19321203,  -0.78
19321205,   0.05
19321206,   1.89
19321207,   0.81
19321208,  -1.40
19321209,  -0.78
19321210,  -1.39
19321212,  -0.44
19321213,  -0.84
19321214,  -0.03
19321215,  -1.85
19321216,   1.30
19321217,  -1.24
19321219,  -1.74
19321220,  -1.34
19321221,  -1.06
19321222,  -3.22
19321223,  -0.36
19321224,   1.29
19321227,   1.19
19321228,  -1.03
19321229,  -0.19
19321230,   4.15
19321231,   3.64
19330103,  -0.30
19330104,   3.69
19330105,   1.35
19330106,  -0.11
19330109,  -1.60
19330110,   1.61
19330111,  -2.63
19330112,  -0.41
19330113,  -3.40
19330114,  -1.34
19330116,  -0.85
19330117,   0.33
19330118,  -2.52
19330119,   1.39
19330120,  -1.16
19330121,  -0.72
19330123,  -0.21
19330124,  -3.05
19330125,   0.50
19330126,   0.95
19330127,  -1.98
19330128,   0.27
19330130,  -0.42
19330131,   0.96
19330201,  -0.05
19330202,  -0.80
19330203,  -0.01
19330204,  -0.64
19330206,   1.45
19330207,  -1.01
19330208,  -0.81
19330209,   2.99
19330210,  -1.75
19330211,  -0.24
19330214,  -4.87
19330215,  -0.29
19330216,  -0.33
19330217,  -1.76
19330218,   1.26
19330220,  -0.60
19330221,  -0.97
19330223,  -3.14
19330224,   2.64
19330225,  -3.74
19330227,  -6.36
19330228,  -1.27
19330301,   2.43
19330302,  -0.36
19330303,   2.03
19330315,  16.75
19330316,   3.04
19330317,  -3.20
19330318,  -4.05
19330320,  -0.60
19330321,  -1.72
19330322,  -1.05
19330323,   0.24
19330324,   0.74
19330325,  -0.59
19330327,  -0.88
19330328,   0.94
19330329,  -1.00
19330330,  -1.67
19330331,  -2.08
19330401,  -0.37
19330403,  -0.86
19330404,   1.45
19330405,   0.97
19330406,   2.45
19330407,   0.46
19330408,   1.33
19330410,   4.48
19330411,   0.35
19330412,  -3.40
19330413,   2.43
19330415,  -0.54
19330417,  -2.04
19330418,   1.61
19330419,   9.45
19330420,   4.59
19330421,  -0.35
19330422,   2.83
19330424,  -1.11
19330425,  -0.74
19330426,   1.72
19330427,  -0.59
19330428,  -1.43
