date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
2017-04-11,823.349976,139.424393,139.919998,110.440002,902.359985,29.051342,13.1,71.678574,22.547657,32.576508,38.240376,19.42,13.24,79.716759,29.267334,47.508911,111.398247,32.675587,83.900772,56.773186
2017-04-12,824.320007,139.591721,139.580002,110.629997,896.22998,28.790228,12.76,71.688339,22.282043,32.595718,38.477547,19.280001,13.35,79.841858,28.411215,47.225712,110.762321,32.665962,83.577812,56.47892
2017-04-13,823.559998,138.853424,139.389999,110.209999,884.669983,28.587141,12.31,71.405258,21.977079,32.067501,38.211918,19.26,13.04,78.610123,27.64469,47.137825,110.513893,32.627438,82.599159,56.410259
2017-04-17,837.169983,139.621262,141.419998,111.760002,901.98999,28.664509,12.79,71.737144,22.439442,32.557304,38.230892,19.209999,13.47,78.504272,27.74424,47.225712,111.954697,32.743,84.028,56.96936
2017-04-18,836.820007,139.001068,140.960007,111.230003,903.780029,28.857925,12.95,72.127602,22.341068,32.355621,38.18346,19.1,13.99,77.994255,27.296268,47.381958,111.805641,32.588917,83.342934,57.234192
2017-04-19,838.210022,138.489166,142.270004,110.760002,899.200012,29.012661,12.84,72.303299,22.370581,32.45166,38.18346,19.190001,13.96,77.45536,27.216629,48.22179,111.57711,32.36742,82.657867,57.911007
2017-04-20,841.650024,140.221771,143.800003,112.959999,902.059998,29.273771,13.11,73.0159,22.695221,32.749382,38.287815,19.389999,13.64,77.95575,27.485413,49.344814,113.862503,32.492619,83.724617,58.931114
2017-04-21,843.190002,140.054413,143.679993,113.110001,898.530029,28.577469,13.0,73.152557,22.341068,32.413242,37.87989,18.99,13.39,77.64782,27.346043,49.452236,113.544533,32.396309,82.716591,59.450981
2017-04-24,862.76001,141.403061,145.470001,114.860001,907.409973,28.577469,13.13,72.996376,23.246122,32.566902,37.965267,19.440001,12.45,78.051987,27.107124,49.950279,114.965454,32.492619,85.633003,59.941418
2017-04-25,872.299988,142.279205,146.490005,115.480003,907.619995,28.480762,13.49,73.259941,23.590437,32.643738,37.889374,19.530001,11.28,78.648621,27.435637,50.555729,115.392723,32.511875,86.376793,59.794285
2017-04-26,871.72998,141.442444,146.559998,114.970001,909.289978,28.297014,13.41,73.630867,23.5019,33.018291,38.363701,19.709999,10.83,78.331047,27.485413,51.024471,115.432465,32.598545,86.543159,60.382813
2017-04-27,874.25,141.550735,147.699997,115.43,918.380005,28.12294,13.62,73.640633,23.265797,33.171955,37.860916,21.67,10.46,78.196335,27.226583,51.122128,116.35656,32.608177,85.740662,60.127785
2017-04-28,905.960022,141.412918,150.25,115.5,924.98999,28.0359,13.3,73.386833,22.960836,33.26799,37.595291,21.49,10.22,78.571632,26.370464,50.594795,115.581528,32.665962,85.143677,58.911495
2017-05-01,912.570007,144.297287,152.460007,116.68,948.22998,27.987547,13.62,73.435638,23.22645,32.845425,37.092503,21.17,10.22,78.966171,26.410286,50.252998,115.63121,32.531136,85.202393,59.029202
2017-05-02,916.440002,145.212799,152.779999,118.089996,946.940002,28.0359,10.32,73.718719,23.147749,31.885027,36.950207,21.049999,10.71,78.956551,26.410286,50.301823,117.370102,32.36742,84.65435,59.343086
2017-05-03,927.039978,144.769821,151.800003,116.57,941.030029,28.268,10.39,73.953003,23.38385,32.153934,36.428448,20.34,10.43,79.582031,25.902586,50.438545,116.585114,32.232597,85.143677,59.431358
2017-05-04,931.659973,144.248062,150.850006,115.860001,937.530029,28.238989,10.1,74.519165,23.462551,31.837008,36.058464,20.42,10.38,78.562004,25.355068,49.676842,117.171364,32.213337,85.241539,59.666771
2017-05-05,927.130005,146.640228,150.240005,116.040001,934.150024,28.258331,10.19,74.675346,23.354336,32.432453,36.580231,20.59,10.76,78.927681,26.101683,50.409248,116.754028,32.242226,85.143677,59.784481
2017-05-08,934.299988,150.627167,151.059998,116.860001,949.039978,28.113266,10.04,74.304413,23.570761,32.624531,36.589714,20.530001,10.55,79.76487,25.703491,50.545963,115.869682,32.213337,85.241539,59.774666
2017-05-09,932.169983,151.591904,150.479996,120.0,952.820007,27.977873,10.18,74.890106,23.590437,32.903042,36.257683,21.389999,10.52,79.206734,25.016602,50.604561,115.670959,32.14592,84.89901,60.060295
2017-05-10,928.780029,150.87326,150.289993,119.980003,948.950012,27.755444,10.79,75.371605,23.757675,32.874233,36.47588,21.18,11.24,79.566162,25.374975,50.780334,115.909431,32.116753,85.564507,59.745121
2017-05-11,930.599976,152.178055,150.039993,120.160004,947.619995,27.919851,11.07,74.811485,23.678976,32.758984,36.466393,20.99,10.16,80.246124,25.325205,50.751041,115.790176,32.126476,85.300262,59.361004
2017-05-12,932.219971,154.303329,150.330002,120.339996,961.349976,27.339598,11.26,74.398766,23.610113,32.288391,36.513824,20.58,9.49,80.187843,25.494436,49.911213,116.386375,32.097305,85.065384,59.026134
2017-05-15,937.080017,153.907913,150.190002,121.400002,957.969971,27.25256,11.42,74.968712,23.669138,32.480473,36.608688,20.290001,8.31,80.430695,25.205744,49.960041,117.459526,32.204262,85.476418,59.538292
2017-05-16,943.0,153.680573,149.779999,124.019997,966.070007,27.117168,12.75,73.809151,23.600275,32.09631,36.229221,19.48,8.32,80.187843,25.046465,50.604561,117.737747,31.698641,85.740662,59.075378
2017-05-17,919.619995,148.52066,144.850006,120.720001,944.76001,26.5079,11.2,73.818977,22.203344,31.13592,35.536705,18.940001,7.96,79.643867,24.897142,49.422939,116.058479,31.338871,82.471924,58.829147
2017-05-18,930.23999,150.784286,147.660004,121.269997,958.48999,26.575596,11.28,76.197067,22.370581,31.183943,36.001545,18.889999,7.72,79.410736,24.628363,49.442471,115.502029,31.329151,82.168541,58.917786
2017-05-19,934.01001,151.298294,148.059998,123.220001,959.840027,27.126837,11.41,77.405754,22.675545,31.424038,36.276661,19.1,7.84,79.585587,25.434706,50.126057,116.833527,31.562511,82.971046,60.434563
2017-05-22,941.859985,152.217621,148.240005,124.75,970.669983,27.25256,11.04,77.189575,22.665709,31.616117,36.286148,19.280001,7.85,79.93528,25.195789,50.536201,118.244514,31.231911,82.892746,60.306522
2017-05-23,948.820007,152.029785,148.070007,122.93,971.539978,27.349268,10.89,77.130615,23.010023,31.90424,36.343063,19.49,7.78,80.21698,24.976784,50.340889,118.840698,31.25136,83.930138,60.22773
2017-05-24,954.960022,151.575073,150.039993,122.809998,980.349976,26.914078,10.89,76.796501,22.980511,31.885027,36.191277,19.559999,7.47,79.93528,24.031071,49.237392,119.933716,31.163849,83.881195,60.95657
2017-05-25,969.539978,152.098969,151.960007,123.629997,993.380005,26.585266,10.98,76.953728,22.872297,31.308792,36.267174,19.49,8.48,79.410736,23.682652,59.813377,121.145973,31.270805,83.528877,61.95134
2017-05-26,971.469971,151.84198,152.130005,123.989998,995.780029,26.546581,11.0,76.776848,22.862459,31.760176,36.162819,19.690001,7.78,79.216454,24.090799,57.586861,120.857811,31.25136,83.538666,62.345306
2017-05-30,975.880005,151.901291,152.380005,123.910004,996.700012,26.459545,11.12,76.796501,22.537821,32.201954,36.570744,19.559999,7.39,78.779335,23.294409,57.889584,120.877686,31.241638,82.109818,62.305908
2017-05-31,964.859985,151.00177,151.460007,122.459999,994.619995,26.478886,11.19,77.238708,22.118349,32.586117,36.551765,19.16,7.39,78.19651,22.955942,57.997002,122.099869,31.747261,80.397171,62.650631
2017-06-01,966.950012,151.416931,151.529999,123.970001,995.950012,26.807695,10.93,78.42775,22.335487,33.066311,36.87431,19.719999,7.55,78.390778,23.035582,58.885658,122.61657,31.805599,81.287743,62.788521
2017-06-02,975.599976,153.660797,153.610001,124.129997,1006.72998,26.962433,10.9,78.241043,22.157831,33.085522,36.87431,20.110001,7.2,77.225113,22.139643,58.270435,124.405144,31.640301,80.876701,63.596146
2017-06-05,983.679993,152.158295,153.630005,125.370003,1011.340027,27.059139,11.24,78.869957,22.118349,33.095119,36.817398,20.280001,6.78,77.827377,21.840996,58.123955,125.1007,31.455553,81.023506,63.300674
2017-06-06,976.570007,152.672302,152.809998,124.620003,1003.0,27.010786,12.03,77.562988,21.940695,33.066311,36.741501,20.219999,6.61,78.886185,22.428333,57.157177,124.444885,31.183296,81.18988,63.192337
2017-06-07,980.940002,153.581711,153.119995,125.639999,1010.070007,26.769014,12.38,77.779182,22.305878,33.347935,36.769958,20.540001,7.02,78.59478,22.189419,57.98724,124.39521,31.115232,82.119614,62.54229
2017-06-08,983.409973,153.2061,154.710007,142.339996,1010.27002,26.681974,12.9,77.562988,22.671062,33.124577,36.523308,21.16,6.9,78.313072,22.089867,57.723572,123.967949,30.872143,83.137413,61.301292
2017-06-09,949.830017,147.265274,149.600006,139.440002,978.309998,27.020456,12.28,78.04451,23.361952,33.347935,36.79842,21.879999,7.06,79.779861,23.065445,56.76656,122.25885,31.863939,85.10453,61.252045
2017-06-12,942.900024,143.746246,148.440002,139.080002,964.909973,27.987547,12.09,77.867622,23.470522,33.678108,37.064041,23.139999,7.03,80.556969,23.075401,55.780247,119.99334,31.795876,85.1241,60.365623
2017-06-13,953.400024,144.902771,150.679993,136.600006,980.789978,27.513674,11.96,78.142776,23.460651,33.51302,36.694065,22.950001,6.85,80.586113,23.852552,56.831406,121.543427,31.679195,85.407913,60.001198
2017-06-14,950.76001,143.489243,150.25,136.669998,976.469971,27.745775,11.77,78.516197,23.450781,33.610134,36.732018,22.700001,7.02,79.721573,23.095329,56.467918,121.72229,31.78615,85.231758,59.361004
2017-06-15,942.309998,142.629257,149.800003,135.080002,964.169983,28.223644,11.5,77.543343,23.233644,33.600418,36.845852,21.709999,6.86,79.906143,23.015621,55.554298,120.649139,31.902836,84.722855,59.183716
2017-06-16,939.780029,140.632507,150.639999,134.869995,987.710022,28.28216,11.44,73.936897,23.125076,33.299377,36.95969,20.99,6.67,81.100945,23.294598,54.670143,121.185715,32.058414,84.341171,59.232964
2017-06-19,957.369995,144.655655,152.869995,139.470001,995.169983,28.087109,11.93,74.192406,23.598827,33.357643,36.912258,21.02,6.37,80.391838,22.108944,54.807678,122.308533,32.301502,86.190849,59.981503
2017-06-20,950.630005,143.340973,152.25,138.380005,992.590027,27.433693,12.64,74.231705,23.184296,33.4062,36.675095,20.48,6.8,79.954712,22.019274,53.962822,122.149559,32.632099,85.652573,58.957188
2017-06-21,959.450012,144.191055,153.910004,143.289993,1002.22998,27.092358,13.98,74.919579,22.828979,33.144001,36.191277,20.309999,6.43,79.109612,21.142488,54.198593,122.318474,32.943249,85.261124,59.055676
2017-06-22,957.090027,143.953827,153.399994,142.270004,1001.299988,26.868052,14.38,74.212044,22.631584,33.202263,36.143845,20.65,6.82,78.759911,21.351721,54.247715,122.517212,33.118275,85.163246,58.612465
2017-06-23,965.590027,144.596344,155.070007,143.009995,1003.73999,26.887556,14.17,73.543823,22.523014,33.211979,36.001545,21.200001,6.95,79.274742,22.17869,54.20842,123.222702,33.225231,85.00666,58.907944
2017-06-26,952.27002,144.141663,153.589996,142.729996,993.97998,26.926569,14.08,74.192406,22.592104,33.522732,36.191277,21.559999,7.36,78.915329,22.826313,55.298878,122.735809,33.098831,85.378555,58.740505
2017-06-27,927.330017,142.075699,150.580002,141.529999,976.780029,26.536465,13.4,74.693558,22.967159,33.221684,35.764385,21.77,7.72,78.789047,22.567265,55.190811,121.960762,32.836292,86.171272,58.070759
2017-06-28,940.48999,144.15152,153.240005,143.949997,990.330017,26.409685,13.23,75.184906,23.56922,33.581001,35.992058,21.629999,8.01,79.197029,22.766535,55.77042,124.017616,32.816845,87.903503,58.287441
2017-06-29,917.789978,142.02626,151.039993,140.809998,975.929993,26.351171,12.6,74.614952,24.003492,33.852909,35.688488,21.309999,8.5,78.390778,23.50383,56.251793,120.738571,32.700165,89.205132,57.479809
2017-06-30,908.72998,142.36235,150.979996,140.899994,968.0,26.341419,12.48,74.369278,23.944275,33.920887,35.792843,21.76,8.86,78.419922,23.085363,56.320564,120.678947,32.66127,89.449791,57.430565
2017-07-03,898.700012,141.848328,148.429993,140.990005,953.659973,26.770527,12.15,74.054825,24.358809,34.542397,36.153336,22.280001,9.19,79.750717,23.404196,58.177288,120.013214,32.884911,91.270287,57.371471
2017-07-05,911.710022,142.431564,150.339996,144.869995,971.400024,26.673002,13.19,74.015511,24.595684,33.998573,36.162819,22.139999,8.69,78.536484,22.089018,57.126125,121.426773,32.709885,92.18544,57.066143
2017-07-06,906.690002,141.087204,148.820007,142.199997,965.140015,25.658745,13.02,74.162918,24.388418,33.862621,35.730366,20.65,7.93,77.827377,21.610773,56.408974,120.252121,32.301502,91.890228,56.731274
2017-07-07,918.590027,142.520523,151.440002,142.429993,978.76001,25.502707,13.36,74.025345,24.506855,33.930595,35.538166,20.639999,7.78,77.924515,21.252087,56.851048,121.645767,32.427906,92.352722,57.164635
2017-07-10,928.799988,143.390381,153.5,143.809998,996.469971,25.39543,13.81,71.961708,24.566074,34.173374,35.394012,20.6,7.46,77.866234,21.690479,53.275143,122.17337,32.486244,91.703262,56.938107
2017-07-11,930.090027,143.85498,155.270004,145.809998,994.130005,25.727011,13.89,72.197563,24.27985,34.377312,35.172977,20.25,7.6,78.29364,22.059126,52.744652,123.666573,32.25288,91.349007,57.026752
